"dt","paramname","observed_value","monitoring_value","model_value","id_station","station_name","station_code","station_type","area_type","station_lat","station_lon"
2023-01-01 01:00:00.000 +0100,PM2.5,22.300,22.300,11.223,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 02:00:00.000 +0100,PM2.5,8.000,8.000,10.772,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 03:00:00.000 +0100,PM2.5,6.400,6.400,10.395,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 04:00:00.000 +0100,PM2.5,7.200,7.200,10.139,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 05:00:00.000 +0100,PM2.5,6.900,6.900,9.592,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 06:00:00.000 +0100,PM2.5,7.000,7.000,9.153,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 07:00:00.000 +0100,PM2.5,6.600,6.600,9.256,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 08:00:00.000 +0100,PM2.5,6.600,6.600,9.147,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 09:00:00.000 +0100,PM2.5,6.900,6.900,9.841,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 10:00:00.000 +0100,PM2.5,7.700,7.700,10.542,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 11:00:00.000 +0100,PM2.5,8.900,8.900,10.364,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 12:00:00.000 +0100,PM2.5,9.300,9.300,10.822,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
2023-01-01 13:00:00.000 +0100,PM2.5,10.000,10.000,11.328,530,"Warszawa, al. Niepodległości",MzWarAlNiepo,komunikacyjna,miejski,52.219298,21.004724
