"dt","paramname","station_code","observed_value","model_value"
2019-01-01 01:00:00.000 +0100,PM10,SlCzestoArmK,26.292,24.346
2019-01-01 02:00:00.000 +0100,PM10,SlCzestoArmK,32.161,24.361
2019-01-01 03:00:00.000 +0100,PM10,SlCzestoArmK,26.668,25.503
2019-01-01 04:00:00.000 +0100,PM10,SlCzestoArmK,31.623,29.967
2019-01-01 05:00:00.000 +0100,PM10,SlCzestoArmK,29.015,29.430
2019-01-01 06:00:00.000 +0100,PM10,SlCzestoArmK,17.682,28.900
2019-01-01 07:00:00.000 +0100,PM10,SlCzestoArmK,13.475,30.574
2019-01-01 08:00:00.000 +0100,PM10,SlCzestoArmK,14.273,31.942
2019-01-01 09:00:00.000 +0100,PM10,SlCzestoArmK,13.879,31.140
2019-01-01 10:00:00.000 +0100,PM10,SlCzestoArmK,10.370,29.373
2019-01-01 11:00:00.000 +0100,PM10,SlCzestoArmK,10.874,27.404
2019-01-01 12:00:00.000 +0100,PM10,SlCzestoArmK,16.517,25.058
2019-01-01 13:00:00.000 +0100,PM10,SlCzestoArmK,14.358,24.220
2019-01-01 14:00:00.000 +0100,PM10,SlCzestoArmK,14.789,23.606
2019-01-01 15:00:00.000 +0100,PM10,SlCzestoArmK,12.874,21.588
2019-01-01 16:00:00.000 +0100,PM10,SlCzestoArmK,15.963,15.988
2019-01-01 17:00:00.000 +0100,PM10,SlCzestoArmK,3.976,16.665
2019-01-01 18:00:00.000 +0100,PM10,SlCzestoArmK,13.569,16.105
2019-01-01 19:00:00.000 +0100,PM10,SlCzestoArmK,14.095,12.712
2019-01-01 20:00:00.000 +0100,PM10,SlCzestoArmK,14.245,13.541
2019-01-01 21:00:00.000 +0100,PM10,SlCzestoArmK,12.010,13.511
2019-01-01 22:00:00.000 +0100,PM10,SlCzestoArmK,7.279,13.024
2019-01-01 23:00:00.000 +0100,PM10,SlCzestoArmK,7.045,13.047
2019-01-02 00:00:00.000 +0100,PM10,SlCzestoArmK,9.094,12.737
2019-01-02 01:00:00.000 +0100,PM10,SlCzestoArmK,8.884,12.814
2019-01-02 02:00:00.000 +0100,PM10,SlCzestoArmK,6.878,12.006
2019-01-02 03:00:00.000 +0100,PM10,SlCzestoArmK,6.214,12.020
2019-01-02 04:00:00.000 +0100,PM10,SlCzestoArmK,4.096,12.742
2019-01-02 05:00:00.000 +0100,PM10,SlCzestoArmK,12.245,16.126
2019-01-02 06:00:00.000 +0100,PM10,SlCzestoArmK,11.024,14.492
2019-01-02 07:00:00.000 +0100,PM10,SlCzestoArmK,13.569,13.179
2019-01-02 08:00:00.000 +0100,PM10,SlCzestoArmK,16.846,12.109
2019-01-02 09:00:00.000 +0100,PM10,SlCzestoArmK,10.517,12.934
2019-01-02 10:00:00.000 +0100,PM10,SlCzestoArmK,14.649,16.948
2019-01-02 11:00:00.000 +0100,PM10,SlCzestoArmK,17.268,17.602
2019-01-02 12:00:00.000 +0100,PM10,SlCzestoArmK,12.806,14.552
2019-01-02 13:00:00.000 +0100,PM10,SlCzestoArmK,13.644,12.914
2019-01-02 14:00:00.000 +0100,PM10,SlCzestoArmK,13.801,13.534
2019-01-02 15:00:00.000 +0100,PM10,SlCzestoArmK,16.836,14.395
2019-01-02 16:00:00.000 +0100,PM10,SlCzestoArmK,16.564,15.091
2019-01-02 17:00:00.000 +0100,PM10,SlCzestoArmK,18.827,15.524
2019-01-02 18:00:00.000 +0100,PM10,SlCzestoArmK,15.512,15.715
2019-01-02 19:00:00.000 +0100,PM10,SlCzestoArmK,17.456,15.514
2019-01-02 20:00:00.000 +0100,PM10,SlCzestoArmK,13.193,15.837
2019-01-02 21:00:00.000 +0100,PM10,SlCzestoArmK,9.166,25.031
2019-01-02 22:00:00.000 +0100,PM10,SlCzestoArmK,12.329,26.164
2019-01-02 23:00:00.000 +0100,PM10,SlCzestoArmK,10.424,26.285
2019-01-03 00:00:00.000 +0100,PM10,SlCzestoArmK,8.957,23.516
2019-01-03 01:00:00.000 +0100,PM10,SlCzestoArmK,7.860,21.536
2019-01-03 02:00:00.000 +0100,PM10,SlCzestoArmK,22.264,18.198
2019-01-03 03:00:00.000 +0100,PM10,SlCzestoArmK,9.320,16.957
2019-01-03 04:00:00.000 +0100,PM10,SlCzestoArmK,10.803,17.290
2019-01-03 05:00:00.000 +0100,PM10,SlCzestoArmK,18.649,16.552
2019-01-03 06:00:00.000 +0100,PM10,SlCzestoArmK,14.273,16.818
2019-01-03 07:00:00.000 +0100,PM10,SlCzestoArmK,12.724,18.655
2019-01-03 08:00:00.000 +0100,PM10,SlCzestoArmK,15.832,20.451
2019-01-03 09:00:00.000 +0100,PM10,SlCzestoArmK,13.991,19.554
2019-01-03 10:00:00.000 +0100,PM10,SlCzestoArmK,13.203,21.434
2019-01-03 11:00:00.000 +0100,PM10,SlCzestoArmK,11.681,24.502
2019-01-03 12:00:00.000 +0100,PM10,SlCzestoArmK,18.845,25.469
2019-01-03 13:00:00.000 +0100,PM10,SlCzestoArmK,35.034,23.546
2019-01-03 14:00:00.000 +0100,PM10,SlCzestoArmK,28.123,23.851
2019-01-03 15:00:00.000 +0100,PM10,SlCzestoArmK,32.734,20.476
2019-01-03 16:00:00.000 +0100,PM10,SlCzestoArmK,26.611,22.702
2019-01-03 17:00:00.000 +0100,PM10,SlCzestoArmK,37.635,22.024
2019-01-03 18:00:00.000 +0100,PM10,SlCzestoArmK,43.222,20.989
2019-01-03 19:00:00.000 +0100,PM10,SlCzestoArmK,28.696,20.175
2019-01-03 20:00:00.000 +0100,PM10,SlCzestoArmK,24.555,19.833
2019-01-03 21:00:00.000 +0100,PM10,SlCzestoArmK,22.076,19.875
2019-01-03 22:00:00.000 +0100,PM10,SlCzestoArmK,21.841,20.264
2019-01-03 23:00:00.000 +0100,PM10,SlCzestoArmK,17.390,20.352
2019-01-04 00:00:00.000 +0100,PM10,SlCzestoArmK,20.067,20.306
2019-01-04 01:00:00.000 +0100,PM10,SlCzestoArmK,19.569,20.642
2019-01-04 02:00:00.000 +0100,PM10,SlCzestoArmK,11.719,21.028
2019-01-04 03:00:00.000 +0100,PM10,SlCzestoArmK,12.677,22.199
2019-01-04 04:00:00.000 +0100,PM10,SlCzestoArmK,12.149,23.773
2019-01-04 05:00:00.000 +0100,PM10,SlCzestoArmK,20.038,22.072
2019-01-04 06:00:00.000 +0100,PM10,SlCzestoArmK,22.639,23.842
2019-01-04 07:00:00.000 +0100,PM10,SlCzestoArmK,27.795,24.049
2019-01-04 08:00:00.000 +0100,PM10,SlCzestoArmK,30.527,24.612
2019-01-04 09:00:00.000 +0100,PM10,SlCzestoArmK,33.284,26.195
2019-01-04 10:00:00.000 +0100,PM10,SlCzestoArmK,24.572,27.292
2019-01-04 11:00:00.000 +0100,PM10,SlCzestoArmK,22.539,22.342
2019-01-04 12:00:00.000 +0100,PM10,SlCzestoArmK,20.878,18.835
2019-01-04 13:00:00.000 +0100,PM10,SlCzestoArmK,22.716,17.916
2019-01-04 14:00:00.000 +0100,PM10,SlCzestoArmK,21.393,19.245
2019-01-04 15:00:00.000 +0100,PM10,SlCzestoArmK,24.883,19.870
2019-01-04 16:00:00.000 +0100,PM10,SlCzestoArmK,25.887,21.496
2019-01-04 17:00:00.000 +0100,PM10,SlCzestoArmK,29.314,23.133
2019-01-04 18:00:00.000 +0100,PM10,SlCzestoArmK,22.042,23.861
2019-01-04 19:00:00.000 +0100,PM10,SlCzestoArmK,28.417,23.565
2019-01-04 20:00:00.000 +0100,PM10,SlCzestoArmK,39.642,22.571
2019-01-04 21:00:00.000 +0100,PM10,SlCzestoArmK,50.147,21.770
2019-01-04 22:00:00.000 +0100,PM10,SlCzestoArmK,32.422,20.877
2019-01-04 23:00:00.000 +0100,PM10,SlCzestoArmK,34.296,21.690
2019-01-05 00:00:00.000 +0100,PM10,SlCzestoArmK,26.752,22.840
2019-01-05 01:00:00.000 +0100,PM10,SlCzestoArmK,17.250,23.789
2019-01-05 02:00:00.000 +0100,PM10,SlCzestoArmK,11.174,22.931
2019-01-05 03:00:00.000 +0100,PM10,SlCzestoArmK,7.037,21.298
2019-01-05 04:00:00.000 +0100,PM10,SlCzestoArmK,5.199,22.482
2019-01-05 05:00:00.000 +0100,PM10,SlCzestoArmK,3.098,23.298
2019-01-05 06:00:00.000 +0100,PM10,SlCzestoArmK,7.040,23.989
2019-01-05 07:00:00.000 +0100,PM10,SlCzestoArmK,5.448,24.324
2019-01-05 08:00:00.000 +0100,PM10,SlCzestoArmK,14.132,25.042
2019-01-05 09:00:00.000 +0100,PM10,SlCzestoArmK,18.311,25.320
2019-01-05 10:00:00.000 +0100,PM10,SlCzestoArmK,16.752,25.123
2019-01-05 11:00:00.000 +0100,PM10,SlCzestoArmK,13.343,25.961
2019-01-05 12:00:00.000 +0100,PM10,SlCzestoArmK,18.930,26.070
2019-01-05 13:00:00.000 +0100,PM10,SlCzestoArmK,20.555,25.012
2019-01-05 14:00:00.000 +0100,PM10,SlCzestoArmK,22.817,22.428
2019-01-05 15:00:00.000 +0100,PM10,SlCzestoArmK,22.456,22.680
2019-01-05 16:00:00.000 +0100,PM10,SlCzestoArmK,24.038,23.586
2019-01-05 17:00:00.000 +0100,PM10,SlCzestoArmK,23.669,22.311
2019-01-05 18:00:00.000 +0100,PM10,SlCzestoArmK,15.691,22.514
2019-01-05 19:00:00.000 +0100,PM10,SlCzestoArmK,14.742,24.409
2019-01-05 20:00:00.000 +0100,PM10,SlCzestoArmK,9.674,24.756
2019-01-05 21:00:00.000 +0100,PM10,SlCzestoArmK,13.897,24.361
2019-01-05 22:00:00.000 +0100,PM10,SlCzestoArmK,8.186,23.743
2019-01-05 23:00:00.000 +0100,PM10,SlCzestoArmK,11.033,23.519
2019-01-06 00:00:00.000 +0100,PM10,SlCzestoArmK,14.454,23.661
2019-01-06 01:00:00.000 +0100,PM10,SlCzestoArmK,12.117,21.700
2019-01-06 02:00:00.000 +0100,PM10,SlCzestoArmK,6.695,20.438
2019-01-06 03:00:00.000 +0100,PM10,SlCzestoArmK,7.595,20.699
2019-01-06 04:00:00.000 +0100,PM10,SlCzestoArmK,6.465,20.817
2019-01-06 05:00:00.000 +0100,PM10,SlCzestoArmK,6.942,20.694
2019-01-06 06:00:00.000 +0100,PM10,SlCzestoArmK,8.931,20.728
2019-01-06 07:00:00.000 +0100,PM10,SlCzestoArmK,9.628,21.081
2019-01-06 08:00:00.000 +0100,PM10,SlCzestoArmK,6.633,21.387
2019-01-06 09:00:00.000 +0100,PM10,SlCzestoArmK,4.881,22.417
2019-01-06 10:00:00.000 +0100,PM10,SlCzestoArmK,11.299,22.934
2019-01-06 11:00:00.000 +0100,PM10,SlCzestoArmK,15.655,20.506
2019-01-06 12:00:00.000 +0100,PM10,SlCzestoArmK,16.214,19.276
2019-01-06 13:00:00.000 +0100,PM10,SlCzestoArmK,15.633,18.041
2019-01-06 14:00:00.000 +0100,PM10,SlCzestoArmK,16.737,17.361
2019-01-06 15:00:00.000 +0100,PM10,SlCzestoArmK,24.867,18.844
2019-01-06 16:00:00.000 +0100,PM10,SlCzestoArmK,15.973,21.385
2019-01-06 17:00:00.000 +0100,PM10,SlCzestoArmK,14.794,23.263
2019-01-06 18:00:00.000 +0100,PM10,SlCzestoArmK,17.278,24.470
2019-01-06 19:00:00.000 +0100,PM10,SlCzestoArmK,19.192,26.678
2019-01-06 20:00:00.000 +0100,PM10,SlCzestoArmK,19.656,29.897
2019-01-06 21:00:00.000 +0100,PM10,SlCzestoArmK,20.904,33.380
2019-01-06 22:00:00.000 +0100,PM10,SlCzestoArmK,45.538,34.746
2019-01-06 23:00:00.000 +0100,PM10,SlCzestoArmK,84.602,31.919
2019-01-07 00:00:00.000 +0100,PM10,SlCzestoArmK,84.800,34.010
2019-01-07 01:00:00.000 +0100,PM10,SlCzestoArmK,101.984,43.459
2019-01-07 02:00:00.000 +0100,PM10,SlCzestoArmK,138.408,36.879
2019-01-07 03:00:00.000 +0100,PM10,SlCzestoArmK,180.041,31.252
2019-01-07 04:00:00.000 +0100,PM10,SlCzestoArmK,154.081,28.067
2019-01-07 05:00:00.000 +0100,PM10,SlCzestoArmK,148.796,27.458
2019-01-07 06:00:00.000 +0100,PM10,SlCzestoArmK,189.977,31.750
2019-01-07 07:00:00.000 +0100,PM10,SlCzestoArmK,160.723,42.211
2019-01-07 08:00:00.000 +0100,PM10,SlCzestoArmK,180.495,51.167
2019-01-07 09:00:00.000 +0100,PM10,SlCzestoArmK,158.299,49.137
2019-01-07 10:00:00.000 +0100,PM10,SlCzestoArmK,168.413,37.981
2019-01-07 11:00:00.000 +0100,PM10,SlCzestoArmK,112.523,37.027
2019-01-07 12:00:00.000 +0100,PM10,SlCzestoArmK,78.988,34.943
