"dt","paramname","station_code","observed_value","model_value"
2019-01-01 01:00:00.000 +0100,NO2,SlCzestoArmK,19.450,16.940
2019-01-01 02:00:00.000 +0100,NO2,SlCzestoArmK,19.277,17.686
2019-01-01 03:00:00.000 +0100,NO2,SlCzestoArmK,15.516,14.906
2019-01-01 04:00:00.000 +0100,NO2,SlCzestoArmK,13.353,17.177
2019-01-01 05:00:00.000 +0100,NO2,SlCzestoArmK,14.710,16.418
2019-01-01 06:00:00.000 +0100,NO2,SlCzestoArmK,12.767,15.832
2019-01-01 07:00:00.000 +0100,NO2,SlCzestoArmK,10.648,16.384
2019-01-01 08:00:00.000 +0100,NO2,SlCzestoArmK,10.977,16.294
2019-01-01 09:00:00.000 +0100,NO2,SlCzestoArmK,11.065,16.233
2019-01-01 10:00:00.000 +0100,NO2,SlCzestoArmK,10.840,15.257
2019-01-01 11:00:00.000 +0100,NO2,SlCzestoArmK,11.228,15.297
2019-01-01 12:00:00.000 +0100,NO2,SlCzestoArmK,12.298,16.653
2019-01-01 13:00:00.000 +0100,NO2,SlCzestoArmK,13.595,19.384
2019-01-01 14:00:00.000 +0100,NO2,SlCzestoArmK,14.884,20.243
2019-01-01 15:00:00.000 +0100,NO2,SlCzestoArmK,16.422,18.888
2019-01-01 16:00:00.000 +0100,NO2,SlCzestoArmK,21.794,15.279
2019-01-01 17:00:00.000 +0100,NO2,SlCzestoArmK,16.278,12.414
2019-01-01 18:00:00.000 +0100,NO2,SlCzestoArmK,15.151,12.711
2019-01-01 19:00:00.000 +0100,NO2,SlCzestoArmK,20.518,12.539
2019-01-01 20:00:00.000 +0100,NO2,SlCzestoArmK,16.737,12.386
2019-01-01 21:00:00.000 +0100,NO2,SlCzestoArmK,16.044,11.989
2019-01-01 22:00:00.000 +0100,NO2,SlCzestoArmK,10.325,11.718
2019-01-01 23:00:00.000 +0100,NO2,SlCzestoArmK,12.030,11.487
2019-01-02 00:00:00.000 +0100,NO2,SlCzestoArmK,7.883,11.229
2019-01-02 01:00:00.000 +0100,NO2,SlCzestoArmK,6.113,11.217
2019-01-02 02:00:00.000 +0100,NO2,SlCzestoArmK,5.660,11.095
2019-01-02 03:00:00.000 +0100,NO2,SlCzestoArmK,7.616,11.085
2019-01-02 04:00:00.000 +0100,NO2,SlCzestoArmK,9.845,11.062
2019-01-02 05:00:00.000 +0100,NO2,SlCzestoArmK,15.006,10.996
2019-01-02 06:00:00.000 +0100,NO2,SlCzestoArmK,21.497,11.216
2019-01-02 07:00:00.000 +0100,NO2,SlCzestoArmK,33.619,11.560
2019-01-02 08:00:00.000 +0100,NO2,SlCzestoArmK,35.845,11.886
2019-01-02 09:00:00.000 +0100,NO2,SlCzestoArmK,37.481,11.998
2019-01-02 10:00:00.000 +0100,NO2,SlCzestoArmK,40.889,11.851
2019-01-02 11:00:00.000 +0100,NO2,SlCzestoArmK,46.576,12.165
2019-01-02 12:00:00.000 +0100,NO2,SlCzestoArmK,45.120,11.793
2019-01-02 13:00:00.000 +0100,NO2,SlCzestoArmK,41.604,11.666
2019-01-02 14:00:00.000 +0100,NO2,SlCzestoArmK,44.344,11.673
2019-01-02 15:00:00.000 +0100,NO2,SlCzestoArmK,44.952,11.584
2019-01-02 16:00:00.000 +0100,NO2,SlCzestoArmK,39.869,11.454
2019-01-02 17:00:00.000 +0100,NO2,SlCzestoArmK,39.588,11.483
2019-01-02 18:00:00.000 +0100,NO2,SlCzestoArmK,36.497,11.513
2019-01-02 19:00:00.000 +0100,NO2,SlCzestoArmK,25.937,11.456
2019-01-02 20:00:00.000 +0100,NO2,SlCzestoArmK,23.687,11.528
2019-01-02 21:00:00.000 +0100,NO2,SlCzestoArmK,17.458,11.621
2019-01-02 22:00:00.000 +0100,NO2,SlCzestoArmK,14.451,11.683
2019-01-02 23:00:00.000 +0100,NO2,SlCzestoArmK,11.963,11.667
2019-01-03 00:00:00.000 +0100,NO2,SlCzestoArmK,8.771,11.090
2019-01-03 01:00:00.000 +0100,NO2,SlCzestoArmK,7.759,11.237
2019-01-03 02:00:00.000 +0100,NO2,SlCzestoArmK,10.554,10.753
2019-01-03 03:00:00.000 +0100,NO2,SlCzestoArmK,7.242,10.726
2019-01-03 04:00:00.000 +0100,NO2,SlCzestoArmK,11.263,10.768
2019-01-03 05:00:00.000 +0100,NO2,SlCzestoArmK,18.904,10.809
2019-01-03 06:00:00.000 +0100,NO2,SlCzestoArmK,30.009,11.161
2019-01-03 07:00:00.000 +0100,NO2,SlCzestoArmK,44.640,11.928
2019-01-03 08:00:00.000 +0100,NO2,SlCzestoArmK,46.008,12.285
2019-01-03 09:00:00.000 +0100,NO2,SlCzestoArmK,42.828,11.884
2019-01-03 10:00:00.000 +0100,NO2,SlCzestoArmK,51.058,11.626
2019-01-03 11:00:00.000 +0100,NO2,SlCzestoArmK,42.999,11.520
2019-01-03 12:00:00.000 +0100,NO2,SlCzestoArmK,39.997,11.428
2019-01-03 13:00:00.000 +0100,NO2,SlCzestoArmK,46.725,11.486
2019-01-03 14:00:00.000 +0100,NO2,SlCzestoArmK,57.319,11.755
2019-01-03 15:00:00.000 +0100,NO2,SlCzestoArmK,60.105,11.895
2019-01-03 16:00:00.000 +0100,NO2,SlCzestoArmK,65.607,11.832
2019-01-03 17:00:00.000 +0100,NO2,SlCzestoArmK,69.673,11.904
2019-01-03 18:00:00.000 +0100,NO2,SlCzestoArmK,66.950,11.958
2019-01-03 19:00:00.000 +0100,NO2,SlCzestoArmK,55.970,11.899
2019-01-03 20:00:00.000 +0100,NO2,SlCzestoArmK,38.717,11.940
2019-01-03 21:00:00.000 +0100,NO2,SlCzestoArmK,33.142,11.861
2019-01-03 22:00:00.000 +0100,NO2,SlCzestoArmK,27.285,11.715
2019-01-03 23:00:00.000 +0100,NO2,SlCzestoArmK,17.053,11.472
2019-01-04 00:00:00.000 +0100,NO2,SlCzestoArmK,15.019,11.232
2019-01-04 01:00:00.000 +0100,NO2,SlCzestoArmK,15.025,11.265
2019-01-04 02:00:00.000 +0100,NO2,SlCzestoArmK,11.265,11.215
2019-01-04 03:00:00.000 +0100,NO2,SlCzestoArmK,16.007,11.076
2019-01-04 04:00:00.000 +0100,NO2,SlCzestoArmK,21.400,11.786
2019-01-04 05:00:00.000 +0100,NO2,SlCzestoArmK,37.316,11.724
2019-01-04 06:00:00.000 +0100,NO2,SlCzestoArmK,49.487,13.277
2019-01-04 07:00:00.000 +0100,NO2,SlCzestoArmK,58.401,13.284
2019-01-04 08:00:00.000 +0100,NO2,SlCzestoArmK,61.736,12.562
2019-01-04 09:00:00.000 +0100,NO2,SlCzestoArmK,58.031,12.281
2019-01-04 10:00:00.000 +0100,NO2,SlCzestoArmK,58.031,12.280
2019-01-04 11:00:00.000 +0100,NO2,SlCzestoArmK,50.535,12.013
2019-01-04 12:00:00.000 +0100,NO2,SlCzestoArmK,48.571,12.020
2019-01-04 13:00:00.000 +0100,NO2,SlCzestoArmK,54.921,12.205
2019-01-04 14:00:00.000 +0100,NO2,SlCzestoArmK,44.218,13.356
2019-01-04 15:00:00.000 +0100,NO2,SlCzestoArmK,47.660,16.480
2019-01-04 16:00:00.000 +0100,NO2,SlCzestoArmK,46.439,17.352
2019-01-04 17:00:00.000 +0100,NO2,SlCzestoArmK,39.608,18.039
2019-01-04 18:00:00.000 +0100,NO2,SlCzestoArmK,37.492,19.014
2019-01-04 19:00:00.000 +0100,NO2,SlCzestoArmK,38.908,18.374
2019-01-04 20:00:00.000 +0100,NO2,SlCzestoArmK,33.347,17.195
2019-01-04 21:00:00.000 +0100,NO2,SlCzestoArmK,32.250,15.813
2019-01-04 22:00:00.000 +0100,NO2,SlCzestoArmK,34.568,14.434
2019-01-04 23:00:00.000 +0100,NO2,SlCzestoArmK,31.831,13.827
2019-01-05 00:00:00.000 +0100,NO2,SlCzestoArmK,27.084,13.283
2019-01-05 01:00:00.000 +0100,NO2,SlCzestoArmK,18.517,12.839
2019-01-05 02:00:00.000 +0100,NO2,SlCzestoArmK,14.249,12.872
2019-01-05 03:00:00.000 +0100,NO2,SlCzestoArmK,13.284,12.663
2019-01-05 04:00:00.000 +0100,NO2,SlCzestoArmK,13.170,13.481
2019-01-05 05:00:00.000 +0100,NO2,SlCzestoArmK,14.489,13.448
2019-01-05 06:00:00.000 +0100,NO2,SlCzestoArmK,24.152,13.337
2019-01-05 07:00:00.000 +0100,NO2,SlCzestoArmK,29.082,13.503
2019-01-05 08:00:00.000 +0100,NO2,SlCzestoArmK,35.770,13.548
2019-01-05 09:00:00.000 +0100,NO2,SlCzestoArmK,39.651,13.791
2019-01-05 10:00:00.000 +0100,NO2,SlCzestoArmK,44.997,14.051
2019-01-05 11:00:00.000 +0100,NO2,SlCzestoArmK,40.057,14.502
2019-01-05 12:00:00.000 +0100,NO2,SlCzestoArmK,44.377,14.176
2019-01-05 13:00:00.000 +0100,NO2,SlCzestoArmK,46.238,13.422
2019-01-05 14:00:00.000 +0100,NO2,SlCzestoArmK,49.177,12.051
2019-01-05 15:00:00.000 +0100,NO2,SlCzestoArmK,47.086,12.467
2019-01-05 16:00:00.000 +0100,NO2,SlCzestoArmK,44.723,13.081
2019-01-05 17:00:00.000 +0100,NO2,SlCzestoArmK,43.251,12.813
2019-01-05 18:00:00.000 +0100,NO2,SlCzestoArmK,42.324,13.445
2019-01-05 19:00:00.000 +0100,NO2,SlCzestoArmK,36.916,14.062
2019-01-05 20:00:00.000 +0100,NO2,SlCzestoArmK,28.984,13.830
2019-01-05 21:00:00.000 +0100,NO2,SlCzestoArmK,35.074,13.410
2019-01-05 22:00:00.000 +0100,NO2,SlCzestoArmK,23.734,12.977
2019-01-05 23:00:00.000 +0100,NO2,SlCzestoArmK,16.855,12.772
2019-01-06 00:00:00.000 +0100,NO2,SlCzestoArmK,18.365,12.421
2019-01-06 01:00:00.000 +0100,NO2,SlCzestoArmK,19.519,12.165
2019-01-06 02:00:00.000 +0100,NO2,SlCzestoArmK,11.974,12.088
2019-01-06 03:00:00.000 +0100,NO2,SlCzestoArmK,11.651,12.083
2019-01-06 04:00:00.000 +0100,NO2,SlCzestoArmK,10.409,12.204
2019-01-06 05:00:00.000 +0100,NO2,SlCzestoArmK,11.261,12.292
2019-01-06 06:00:00.000 +0100,NO2,SlCzestoArmK,10.369,12.592
2019-01-06 07:00:00.000 +0100,NO2,SlCzestoArmK,9.388,12.883
2019-01-06 08:00:00.000 +0100,NO2,SlCzestoArmK,11.042,12.896
2019-01-06 09:00:00.000 +0100,NO2,SlCzestoArmK,16.442,13.067
2019-01-06 10:00:00.000 +0100,NO2,SlCzestoArmK,16.762,14.839
2019-01-06 11:00:00.000 +0100,NO2,SlCzestoArmK,15.822,13.426
2019-01-06 12:00:00.000 +0100,NO2,SlCzestoArmK,23.596,12.327
2019-01-06 13:00:00.000 +0100,NO2,SlCzestoArmK,28.466,12.419
2019-01-06 14:00:00.000 +0100,NO2,SlCzestoArmK,28.466,12.590
2019-01-06 15:00:00.000 +0100,NO2,SlCzestoArmK,32.181,13.380
2019-01-06 16:00:00.000 +0100,NO2,SlCzestoArmK,37.634,14.295
2019-01-06 17:00:00.000 +0100,NO2,SlCzestoArmK,34.366,15.096
2019-01-06 18:00:00.000 +0100,NO2,SlCzestoArmK,36.305,15.922
2019-01-06 19:00:00.000 +0100,NO2,SlCzestoArmK,35.467,17.024
2019-01-06 20:00:00.000 +0100,NO2,SlCzestoArmK,33.277,18.536
2019-01-06 21:00:00.000 +0100,NO2,SlCzestoArmK,33.743,20.385
2019-01-06 22:00:00.000 +0100,NO2,SlCzestoArmK,49.445,22.456
2019-01-06 23:00:00.000 +0100,NO2,SlCzestoArmK,56.878,24.485
2019-01-07 00:00:00.000 +0100,NO2,SlCzestoArmK,62.799,22.910
2019-01-07 01:00:00.000 +0100,NO2,SlCzestoArmK,62.505,23.322
2019-01-07 02:00:00.000 +0100,NO2,SlCzestoArmK,57.985,20.307
2019-01-07 03:00:00.000 +0100,NO2,SlCzestoArmK,48.325,18.315
