ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-05 06:00:00,29.01,8.13,71.78,29.01,29.01,9.00,9.00,9.00,2.58,2.58,2.58,1.27,1.27,1.27,5.15,5.15,5.15,0.00,0.00,0.00,38.02
2025-11-05 07:00:00,29.01,4.75,69.75,29.01,29.01,8.18,8.18,8.18,1.74,1.74,1.74,1.31,1.31,1.31,5.12,5.12,5.12,0.00,0.00,0.00,37.19
2025-11-05 08:00:00,29.01,2.58,67.77,29.01,29.01,5.93,5.93,5.93,-0.53,-0.53,-0.53,1.37,1.37,1.37,5.10,5.10,5.10,0.00,0.00,0.00,34.95
2025-11-05 09:00:00,29.01,-1.12,64.55,29.01,29.01,3.17,3.17,3.17,-3.33,-3.33,-3.33,1.42,1.42,1.42,5.07,5.07,5.07,0.00,0.00,0.00,32.18
2025-11-05 10:00:00,29.01,-4.04,61.67,29.01,29.01,0.92,0.92,0.92,-5.61,-5.61,-5.61,1.48,1.48,1.48,5.05,5.05,5.05,0.00,0.00,0.00,29.93
2025-11-05 11:00:00,29.01,-6.05,59.82,29.01,29.01,-0.29,-0.29,-0.29,-6.85,-6.85,-6.85,1.54,1.54,1.54,5.02,5.02,5.02,0.00,0.00,0.00,28.73
2025-11-05 12:00:00,29.01,-5.96,60.86,29.01,29.01,-0.60,-0.60,-0.60,-7.20,-7.20,-7.20,1.61,1.61,1.61,4.99,4.99,4.99,0.00,0.00,0.00,28.41
2025-11-05 13:00:00,29.01,-2.47,62.67,29.01,29.01,-0.43,-0.43,-0.43,-7.07,-7.07,-7.07,1.68,1.68,1.68,4.97,4.97,4.97,0.00,0.00,0.00,28.58
2025-11-05 14:00:00,29.01,-3.83,60.12,29.01,29.01,0.13,0.13,0.13,-6.56,-6.56,-6.56,1.75,1.75,1.75,4.94,4.94,4.94,0.00,0.00,0.00,29.14
2025-11-05 15:00:00,29.01,-0.81,62.85,29.01,29.01,1.42,1.42,1.42,-5.31,-5.31,-5.31,1.82,1.82,1.82,4.91,4.91,4.91,0.00,0.00,0.00,30.43
